Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request date,Request hour,Request mins,Request day,Request month,Request year,Drop date,Drop hour,Drop mins,Drop day,Drop month,Drop year
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,11-07-2016,11,51,11,7,2016,11-07-2016,13,0,11,7,2016
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,11-07-2016,17,57,11,7,2016,11-07-2016,18,47,11,7,2016
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,12-07-2016,9,17,12,7,2016,12-07-2016,9,58,12,7,2016
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,12-07-2016,21,8,12,7,2016,12-07-2016,22,3,12,7,2016
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,13-07-2016,8,33,13,7,2016,13-07-2016,9,25,13,7,2016
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,13-07-2016,21,57,13,7,2016,13-07-2016,22,28,13,7,2016
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,14-07-2016,6,15,14,7,2016,14-07-2016,7,13,14,7,2016
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,15-07-2016,5,11,15,7,2016,15-07-2016,6,7,15,7,2016
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,15-07-2016,17,57,15,7,2016,15-07-2016,18,50,15,7,2016
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,11-07-2016,6,46,11,7,2016,11-07-2016,7,25,11,7,2016
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,12-07-2016,5,8,12,7,2016,12-07-2016,6,2,12,7,2016
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,12-07-2016,12,30,12,7,2016,12-07-2016,12,57,12,7,2016
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,13-07-2016,4,49,13,7,2016,13-07-2016,5,23,13,7,2016
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,13-07-2016,8,2,13,7,2016,13-07-2016,9,16,13,7,2016
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,13-07-2016,14,23,13,7,2016,13-07-2016,15,35,13,7,2016
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,13-07-2016,17,23,13,7,2016,13-07-2016,18,20,13,7,2016
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,14-07-2016,12,1,14,7,2016,14-07-2016,12,36,14,7,2016
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,14-07-2016,22,24,14,7,2016,14-07-2016,23,18,14,7,2016
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,11-07-2016,10,0,11,7,2016,11-07-2016,10,31,11,7,2016
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,11-07-2016,18,45,11,7,2016,11-07-2016,19,23,11,7,2016
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,12-07-2016,11,17,12,7,2016,12-07-2016,12,23,12,7,2016
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,12-07-2016,15,46,12,7,2016,12-07-2016,16,40,12,7,2016
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,12-07-2016,18,0,12,7,2016,12-07-2016,18,28,12,7,2016
